"committees","neighbors","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0,0.126503322330426,0.698446494423509,0.0620527314312318,0.00968755665460421,0.0429001205353464,0.0036255715173083,6
1,1,0.134225615951194,0.678656837121596,0.0651780940299653,0.0103803342965231,0.0418327294319679,0.00417463550401318,6
1,2,0.126753700282785,0.702165475321948,0.062614576805972,0.0103314777222376,0.0434457839015381,0.00379798013271552,6
1,5,0.124799153609124,0.707329705047834,0.0629678227209691,0.00974014235845642,0.0429999360508124,0.00344685609628888,6
1,9,0.124950292996081,0.705170605015832,0.0636353308211574,0.00990510527204873,0.0435948569161798,0.00355833444722604,6
5,0,0.110731892542028,0.760690510266037,0.056642577215021,0.00664488118492271,0.029592343777726,0.00284925909011856,6
5,1,0.11729874085776,0.738795475457581,0.0582531201039144,0.00698679890580818,0.0293263989461506,0.003386197712868,6
5,2,0.111077450909492,0.761081972894001,0.0565274574788308,0.00714330609414848,0.0297839296190839,0.00314120082844229,6
5,5,0.109838157045811,0.765545617826554,0.0571950842755709,0.00671751298878348,0.0284067400449,0.00295284509426946,6
5,9,0.110166741289978,0.763786940697341,0.0580424411244502,0.00681383557705883,0.0288880223575143,0.00291888062183611,6
10,0,0.107790317647467,0.772614287726928,0.0557111763719988,0.00609535114261479,0.0279306038238339,0.00278497911716913,6
10,1,0.114215210673821,0.750068528601483,0.0570716725651216,0.00712863335687489,0.0314838924435386,0.00385858090150542,6
10,2,0.107984211739598,0.772748527629024,0.0554458748113393,0.00690360458656846,0.0303133189850215,0.00329808754601279,6
10,5,0.107006558775945,0.776414938445535,0.0562326256974123,0.00633921862014171,0.0282972863907342,0.00306350931394314,6
10,9,0.107357096394625,0.77486837688175,0.0570961703384527,0.00635040917748547,0.0281909218997502,0.0029781616707878,6
50,0,0.105162004724911,0.783778421223358,0.0546450553347015,0.00583578675204322,0.0254385444349354,0.00276617794824155,6
50,1,0.111642614046241,0.759613025362934,0.0557599823577474,0.0069283874450216,0.0299148203110002,0.00389055173151607,6
50,2,0.105367255279731,0.782875553644078,0.0541024312919577,0.00665814571073864,0.028657706017812,0.00334353909259031,6
50,5,0.104416924743831,0.786711823955627,0.0549539939002877,0.0061073161532687,0.0262573803126486,0.00306003479870732,6
50,9,0.104829372578234,0.785103935849767,0.055886181024454,0.00607944003340638,0.0260861204317614,0.00297388629964197,6
100,0,0.104813231052151,0.785264076651463,0.0545768771127659,0.00564792951030529,0.0252851695231381,0.00269254905339106,6
100,1,0.111352540566613,0.76064969942185,0.0556659171551187,0.00691238175003618,0.0298802655758085,0.00384508320329403,6
100,2,0.105113688793332,0.783806986922524,0.0540477831964384,0.00667057733503585,0.0287959158302422,0.00334498187289044,6
100,5,0.104126513862358,0.787856266345592,0.0549002161596462,0.00599097669999331,0.0260821099417284,0.0029446505213963,6
100,9,0.104542634521703,0.7862625523448,0.0558257535844325,0.00589549308825196,0.0257646782318171,0.0028503927394638,6
